"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","excess.attenuation"
"200303-019.wav_743",1,0.04,0.140022675737023,0.365,1.647,"0.1_BB_am_harm.wav_22","simulations",NA,"0.1_BB_am_harm.wav_22",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_22","200303-000.wav_743-1",0.892962121753647
"200303-024.wav_743",1,0.04,0.140022675737023,0.365,1.647,"0.1_BB_am_harm.wav_22","simulations",NA,"0.1_BB_am_harm.wav_22",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_22","200303-000.wav_743-1",1.04134813273225
"200303-025.wav_743",1,0.04,0.140022675737023,0.365,1.647,"0.1_BB_am_harm.wav_22","simulations",NA,"0.1_BB_am_harm.wav_22",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_22","200303-000.wav_743-1",1.0333337069882
"200303-004.wav_744",1,0.04,0.140022675737023,7.176,11.6655,"0.1_BB_am_harm.wav_23","simulations",NA,"0.1_BB_am_harm.wav_23",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_23","200303-000.wav_744-1",1.23087082572237
"200303-008.wav_744",1,0.04,0.140022675736994,7.176,11.6655,"0.1_BB_am_harm.wav_23","simulations",NA,"0.1_BB_am_harm.wav_23",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_23","200303-000.wav_744-1",1.09347513413104
"200303-018.wav_744",1,0.04,0.140022675736994,7.176,11.6655,"0.1_BB_am_harm.wav_23","simulations",NA,"0.1_BB_am_harm.wav_23",24.2,0.2,65,"abierta",2,"0.1_BB_am_harm.wav_23","200303-000.wav_744-1",1.08933865464977
"200303-019.wav_744",1,0.04,0.140022675736994,7.176,11.6655,"0.1_BB_am_harm.wav_23","simulations",NA,"0.1_BB_am_harm.wav_23",24.5,0.2,65,"cerrado",2,"0.1_BB_am_harm.wav_23","200303-000.wav_744-1",1.15834698492903
"200303-024.wav_744",1,0.04,0.140022675736966,7.176,11.6655,"0.1_BB_am_harm.wav_23","simulations",NA,"0.1_BB_am_harm.wav_23",28.2,0.2,65,"cerrado",3,"0.1_BB_am_harm.wav_23","200303-000.wav_744-1",1.16673438945922
"200303-025.wav_744",1,0.04,0.140022675736994,7.176,11.6655,"0.1_BB_am_harm.wav_23","simulations",NA,"0.1_BB_am_harm.wav_23",26.2,0.2,65,"abierta",3,"0.1_BB_am_harm.wav_23","200303-000.wav_744-1",1.1274964173244
"200303-004.wav_745",1,0.04,0.140022675736966,3.654,7.5,"0.1_BB_am_harm.wav_24","simulations",NA,"0.1_BB_am_harm.wav_24",23.8,0.31,65,"abierta",1,"0.1_BB_am_harm.wav_24","200303-000.wav_745-1",1.07410643590657
"200303-008.wav_745",1,0.04,0.140022675736994,3.654,7.5,"0.1_BB_am_harm.wav_24","simulations",NA,"0.1_BB_am_harm.wav_24",25.6,0.28,65,"cerrado",1,"0.1_BB_am_harm.wav_24","200303-000.wav_745-1",1.0591806624874
