"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","reference","cross.correlation"
"200303-024.wav_217",1,0.04,0.240022675737017,1,2.164,"0.2_BB_no.am_no.harm.wav_36","simulations",NA,"0.2_BB_no.am_no.harm.wav_36",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_36","200303-000.wav_217-1",0.601271046017991
"200303-024.wav_218",1,0.04,0.240022675736903,2.077,2.5,"0.2_BB_no.am_no.harm.wav_37","simulations",NA,"0.2_BB_no.am_no.harm.wav_37",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_37","200303-000.wav_218-1",0.670838172502038
"200303-024.wav_219",1,0.04,0.240022675736989,6.752,7.606,"0.2_BB_no.am_no.harm.wav_38","simulations",NA,"0.2_BB_no.am_no.harm.wav_38",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_38","200303-000.wav_219-1",0.101991609582435
"200303-024.wav_220",1,0.04,0.240022675736989,0.5,1.555,"0.2_BB_no.am_no.harm.wav_39","simulations",NA,"0.2_BB_no.am_no.harm.wav_39",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_39","200303-000.wav_220-1",0.415738773633512
"200303-024.wav_221",1,0.04,0.240022675736903,4.209,4.815,"0.2_BB_no.am_no.harm.wav_40","simulations",NA,"0.2_BB_no.am_no.harm.wav_40",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_40","200303-000.wav_221-1",0.285999729543127
"200303-024.wav_222",1,0.04,0.240022675737017,5.764,6.869,"0.2_BB_no.am_no.harm.wav_41","simulations",NA,"0.2_BB_no.am_no.harm.wav_41",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_41","200303-000.wav_222-1",0.016038287863436
"200303-024.wav_223",1,0.04,0.240022675736903,7.989,9.542,"0.2_BB_no.am_no.harm.wav_42","simulations",NA,"0.2_BB_no.am_no.harm.wav_42",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_42","200303-000.wav_223-1",0.0871698889486832
"200303-024.wav_224",1,0.04,0.240022675736989,5.973,6.905,"0.2_BB_no.am_no.harm.wav_43","simulations",NA,"0.2_BB_no.am_no.harm.wav_43",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_43","200303-000.wav_224-1",0.155262284154135
"200303-024.wav_225",1,0.04,0.240022675736989,3.013,3.733,"0.2_BB_no.am_no.harm.wav_44","simulations",NA,"0.2_BB_no.am_no.harm.wav_44",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_44","200303-000.wav_225-1",0.590898207385703
"200303-024.wav_226",1,0.04,0.240022675736889,9.733,10.857,"0.2_BB_no.am_no.harm.wav_45","simulations",NA,"0.2_BB_no.am_no.harm.wav_45",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_45","200303-000.wav_226-1",0.0569472872436053
"200303-024.wav_227",1,0.04,0.240022675737003,8.284,9.321,"0.2_BB_no.am_no.harm.wav_46","simulations",NA,"0.2_BB_no.am_no.harm.wav_46",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_46","200303-000.wav_227-1",0.149526251090131
"200303-024.wav_228",1,0.04,0.240022675736903,8,8.539,"0.2_BB_no.am_no.harm.wav_47","simulations",NA,"0.2_BB_no.am_no.harm.wav_47",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_47","200303-000.wav_228-1",0.165201142372012
"200303-024.wav_229",1,0.04,0.240022675736903,2.366,3.388,"0.2_BB_no.am_no.harm.wav_48","simulations",NA,"0.2_BB_no.am_no.harm.wav_48",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_48","200303-000.wav_229-1",0.698624420727396
"200303-024.wav_230",1,0.04,0.240022675736989,1.048,2.28,"0.2_BB_no.am_no.harm.wav_49","simulations",NA,"0.2_BB_no.am_no.harm.wav_49",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_49","200303-000.wav_230-1",0.63414386302582
"200303-024.wav_231",1,0.04,0.240022675736889,7.427,8.24,"0.2_BB_no.am_no.harm.wav_50","simulations",NA,"0.2_BB_no.am_no.harm.wav_50",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_50","200303-000.wav_231-1",0.296118848513761
"200303-024.wav_232",1,0.04,0.240022675737003,1.396,2.385,"0.2_BB_no.am_no.harm.wav_51","simulations",NA,"0.2_BB_no.am_no.harm.wav_51",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_51","200303-000.wav_232-1",0.784737485809711
"200303-024.wav_233",1,0.04,0.240022675737003,3.882,5.129,"0.2_BB_no.am_no.harm.wav_52","simulations",NA,"0.2_BB_no.am_no.harm.wav_52",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_52","200303-000.wav_233-1",0.401294387454262
"200303-024.wav_234",1,0.04,0.240022675736903,8.618,9.923,"0.2_BB_no.am_no.harm.wav_53","simulations",NA,"0.2_BB_no.am_no.harm.wav_53",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_53","200303-000.wav_234-1",0.0619162223626269
"200303-024.wav_235",1,0.04,0.240022675737003,3.511,4.562,"0.2_BB_no.am_no.harm.wav_54","simulations",NA,"0.2_BB_no.am_no.harm.wav_54",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_54","200303-000.wav_235-1",0.564664137594927
"200303-024.wav_236",1,0.04,0.240022675736903,4.983,6.01,"0.2_BB_no.am_no.harm.wav_55","simulations",NA,"0.2_BB_no.am_no.harm.wav_55",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_55","200303-000.wav_236-1",0.15374261575084
"200303-024.wav_237",1,0.04,0.240022675737003,1.168,2.06,"0.2_BB_no.am_no.harm.wav_56","simulations",NA,"0.2_BB_no.am_no.harm.wav_56",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_56","200303-000.wav_237-1",0.728581362510459
"200303-024.wav_238",1,0.04,0.240022675737003,5.895,6.947,"0.2_BB_no.am_no.harm.wav_57","simulations",NA,"0.2_BB_no.am_no.harm.wav_57",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_57","200303-000.wav_238-1",0.133246699534233
"200303-024.wav_239",1,0.04,0.240022675736903,1.38,2.136,"0.2_BB_no.am_no.harm.wav_58","simulations",NA,"0.2_BB_no.am_no.harm.wav_58",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_58","200303-000.wav_239-1",0.768858997355742
"200303-024.wav_240",1,0.04,0.240022675737003,7.021,8.197,"0.2_BB_no.am_no.harm.wav_59","simulations",NA,"0.2_BB_no.am_no.harm.wav_59",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_59","200303-000.wav_240-1",0.159723698431864
"200303-024.wav_241",1,0.04,0.240022675736903,3.466,4.218,"0.2_BB_no.am_no.harm.wav_60","simulations",NA,"0.2_BB_no.am_no.harm.wav_60",28.2,0.2,65,"cerrado",3,"0.2_BB_no.am_no.harm.wav_60","200303-000.wav_241-1",0.678926551897323
"200303-024.wav_242",1,0.04,0.140022675736994,8.3,8.7,"0.1_pure.tone_am_no.harm.wav_1","simulations",NA,"0.1_pure.tone_am_no.harm.wav_1",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_am_no.harm.wav_1","200303-000.wav_242-1",0.25787287469188
"200303-024.wav_243",1,0.04,0.140022675736994,3.3,3.7,"0.1_pure.tone_am_no.harm.wav_2","simulations",NA,"0.1_pure.tone_am_no.harm.wav_2",28.2,0.2,65,"cerrado",3,"0.1_pure.tone_am_no.harm.wav_2","200303-000.wav_243-1",0.866643386259567
