"sound.files","selec","start","end","bottom.freq","top.freq","template","data.set","environm","orig.sound.file","Temperatura","Humedad","distance","Vegetacion","Transecto","signal.type","snr.attenuation"
"200303-007.wav_1045",1,0.04,0.163877551019973,2.5854,4.8923,"Haemorhous-mexicanus-469591.wav_4","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_4",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_4",11.3641873321233
"200303-007.wav_1046",1,0.04,0.160793650794013,1.949,3.6991,"Haemorhous-mexicanus-469591.wav_5","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_5",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_5",15.3052449804664
"200303-007.wav_1047",1,0.04,0.129818594104003,2.2672,4.1366,"Haemorhous-mexicanus-469591.wav_6","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_6",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_6",11.3013230050063
"200303-007.wav_1048",1,0.04,0.191746031746001,2.3069,4.4548,"Haemorhous-mexicanus-469591.wav_7","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_7",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_7",13.3677432811635
"200303-007.wav_1049",1,0.04,0.297029478458008,1.6308,4.8923,"Haemorhous-mexicanus-469591.wav_8","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_8",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_8",11.043722272974
"200303-007.wav_1050",1,0.04,0.166984126983984,4.2559,7.0799,"Haemorhous-mexicanus-469591.wav_9","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_9",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_9",8.10242370163385
"200303-007.wav_1051",1,0.04,0.136009070294997,2.1081,4.773,"Haemorhous-mexicanus-469591.wav_10","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_10",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_10",8.86873293041534
"200303-007.wav_1052",1,0.04,0.182471655329018,4.4945,5.9662,"Haemorhous-mexicanus-469591.wav_11","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_11",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_11",5.66830195167584
"200303-007.wav_1053",1,0.04,0.12052154195002,1.949,2.7445,"Haemorhous-mexicanus-469591.wav_12","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_12",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_12",21.6915747868373
"200303-007.wav_1054",1,0.04,0.293945578230997,1.8694,5.4491,"Haemorhous-mexicanus-469591.wav_13","Paulina","bosque_abierto","Haemorhous-mexicanus-469591.wav_13",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-469591.wav_13",7.48772027465462
"200303-007.wav_1055",1,0.04,0.118843537414997,3.0844,5.1187,"Haemorhous-mexicanus-474138.wav_1","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_1",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_1",8.96265494365163
"200303-007.wav_1056",1,0.04,0.136371882086004,1.6406,4.0687,"Haemorhous-mexicanus-474138.wav_2","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_2",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_2",14.7910799352207
"200303-007.wav_1057",1,0.04,0.298390022675997,2.4937,5.25,"Haemorhous-mexicanus-474138.wav_3","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_3",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_3",12.7762034212069
"200303-007.wav_1058",1,0.04,0.223945578231004,2.625,4.5281,"Haemorhous-mexicanus-474138.wav_4","Paulina","bosque_cerrado","Haemorhous-mexicanus-474138.wav_4",25,0.29,10,"cerrado",1,"Haemorhous-mexicanus-474138.wav_4",14.2092251420006
